"region_name","region_name_rus","map_region_name","index","option_region_name","type","type_eng"
"АДЫГЕЯ РЕСП","Республика Адыгея","Adygey","54.4","Adygea|Adygeya|Adygheya|Republic of Adygeya|Adygeyskaya A.Obl.|Respublika Adygeya","Respublika","Republic"
"АЛТАЙСКИЙ КРАЙ","Алтайский край","Gorno-Altay","40.84","Gorno-Altayskaya A.Obl.|Respublika Altay|Oirot|Republic of Altai","Respublika","Republic"
"АМУРСКАЯ ОБЛ","Амурская область","Amur","39.65","Amurskaya Oblast","Oblast","Region"
"АРХАНГЕЛЬСКАЯ ОБЛ","Архангельская область","Arkhangel'sk","37.43","Arcangelo|Archangel|Archangelsk|Arkhangelskaya Oblast","Oblast","Region"
"АСТРАХАНСКАЯ ОБЛ","Астраханская область","Astrakhan'","42.2","Astrachan|Astrakhanskaya Oblast","Oblast","Region"
"БАШКОРТОСТАН РЕСП","Республика Башкортостан","Bashkortostan","53.65","Bashkir|Bashkiriya|Bashkirskaya A.S.S.R.|Republic of Bashkortostan|Respublika Bashkortostan","Respublika","Republic"
"БЕЛГОРОДСКАЯ ОБЛ","Белгородская область","Belgorod","64.15","Belgorodskaya Oblast","Oblast","Region"
"БРЯНСКАЯ ОБЛ","Брянская область","Bryansk","49.34","Bryanskaya Oblast","Oblast","Region"
"БУРЯТИЯ РЕСП","Республика Бурятия","Buryat","33.02","Buryatiya|Buryat-Mongol A.S.S.R.|Republic of Buryatia|Buryatskaya A.S.S.R.|Respublika","Respublika","Republic"
"ВЛАДИМИРСКАЯ ОБЛ","Владимирская область","Vladimir","50.97","Vladimirskaya Oblast","Oblast","Region"
"ВОЛГОГРАДСКАЯ ОБЛ","Волгоградская область","Volgograd","48.23","Stalingrad|Volgogradskaya Oblast","Oblast","Region"
"ВОЛОГОДСКАЯ ОБЛ","Вологодская область","Vologda","44.09","Vologodskaya Oblast","Oblast","Region"
"ВОРОНЕЖСКАЯ ОБЛ","Воронежская область","Voronezh","59.33","Voronezhskaya Oblast","Oblast","Region"
"ДАГЕСТАН РЕСП","Республика Дагестан","Dagestan","39.35","Dagestanskaya A.S.S.R.|Daghestan|Republic of Dagestan|Respublika Dagestan|Dagistan","Respublika","Republic"
"ЕВРЕЙСКАЯ АОБЛ","Еврейская автономная область","Yevrey","28.94","Den jødiske autonome oblasten|Evrey|Jewish A.Obl.|Yahudi|Yevreyskaya A.Obl.|Evreyskaya AOb","Avtonomnaya Oblast","Autonomous Region"
"Забайкальский край","Забайкальский край","Zabaikal","30.07","Zabaikalskiy Krai","Oblast","Region"
"ИВАНОВСКАЯ ОБЛ","Ивановская область","Ivanovo","47.75","Ivanovskaya Oblast","Oblast","Region"
"ИНГУШЕТИЯ РЕСП","Республика Ингушетия","Ingush","29.74","Ingouchie|Inguchétia|Inguschetien|Ingushetia|Ingushetiya|Ingush Republic|Ingushskaya Respublika|Respublika Ingushetiya","Respublika","Republic"
"ИРКУТСКАЯ ОБЛ","Иркутская область","Irkutsk","43.45","Irkutskaya Oblast","Oblast","Region"
"КАБАРДИНО-БАЛКАРСКАЯ РЕСП","Кабардино-Балкарская республика","Kabardin-Balkar","34.91","Kabardin A.S.S.R.|Kabardino-Balkarskaya A.S.S.R.|Kabardino-Balkariya|Kabardino-Balkarsk|Kabard|Kabardino-Balkarskaya Republic","Respublika","Republic"
"КАЛИНИНГРАДСКАЯ ОБЛ","Калининградская область","Kaliningrad","59.82","Kaliningradskaya Oblast","Oblast","Region"
"КАЛМЫКИЯ РЕСП","Республика Калмыкия","Kalmyk","32.5","Kalmykiya|Khalmg Tangch|Republic of Kalmykia|Kalmytskaya A.S.S.R.|Respublika Kalmykiya","Respublika","Republic"
"КАЛУЖСКАЯ ОБЛ","Калужская область","Kaluga","57.44","Kaluzhskaya Oblast","Oblast","Region"
"КАМЧАТСКИЙ КРАЙ","Камчатский край","Kamchatka","50.17","Kamï¿½atka|Kamchatskaya Oblast","Oblast","Region"
"КАРАЧАЕВО-ЧЕРКЕССКАЯ РЕСП","Республика Карачаево-Черкесская","Karachay-Cherkess","25.54","Karaçay-Çerkes|Karachay-Cherkessiya|Karachayevo-Cherkesskaya Respublika|Karachayevo-Cherkessiya|Karachayevo-Cherkess Republic|K","Respublika","Republic"
"КАРЕЛИЯ РЕСП","Республика Карелия","Karelia","39.15","Karelian A.S.S.R.|Karelo-Finnish A.S.S.R.|Karel'skaya A.S.S.R.|Olonets|Olonetskaya G.|Kareliya|Republic of Karelia","Respublika","Republic"
"КЕМЕРОВСКАЯ ОБЛ","Кемеровская область","Kemerovo","42.73","Kemerovskaya Oblast","Oblast","Region"
"КИРОВСКАЯ ОБЛ","Кировская область","Kirov","41.8","Vyatka|Vyatskaya G.|Kirovskaya Oblast","Oblast","Region"
"КОМИ РЕСП","Республика Коми","Komi","41.25","Komi A.S.S.R.|Republic of Komi|Respublika Komi","Respublika","Republic"
"КОСТРОМСКАЯ ОБЛ","Костромская область","Kostroma","43.56","Kostromskaya Oblast","Oblast","Region"
"КРАСНОДАРСКИЙ КРАЙ","Краснодарский край","Krasnodar","67.33","Cossacks of the Black Sea|Kuban|Kubanskaya|Yekaterinodar|Krasnodarskiy Kray","Kray","Territory"
"КРАСНОЯРСКИЙ КРАЙ","Красноярский край","Krasnoyarsk","48.06","Krasnoyarskiy Kray|Yeniseisk|Yeniseyskaya G.","Kray","Territory"
"КУРГАНСКАЯ ОБЛ","Курганская область","Kurgan","33.11","Kurganskaya Oblast","Oblast","Region"
"КУРСКАЯ ОБЛ","Курская область","Kursk","56.09","Kurskaya Oblast","Oblast","Region"
"ЛЕНИНГРАДСКАЯ ОБЛ","Ленинградская область","Leningrad","62.7","Saint Petersburg|Sankt-Peterburgskaya G.|Leningradskaya Oblast","Oblast","Region"
"ЛИПЕЦКАЯ ОБЛ","Липецкая область","Lipetsk","57.47","Lipetskaya Oblast","Oblast","Region"
"МАГАДАНСКАЯ ОБЛ","Магаданская область","Magadan","44.52","Magadanskaya Oblast","Oblast","Region"
"МАРИЙ ЭЛ РЕСП","Республика Марий Эл","Mariy-El","42.93","Mari|Mari-El|Republic of Mari El|Mariyskaya A.S.S.R.|Respublika Mariy El","Respublika","Republic"
"МОРДОВИЯ РЕСП","Республика Мордовия","Mordovia","45.6","Mordov|Mordvian Autonomous Republic|Mordvinia|Republic of Mordovia|Mordovian A.S.S.R.","Respublika","Republic"
"МОСКВА Г","Москва","Moscow City","81.35","","Gorod","City"
"МОСКОВСКАЯ ОБЛ","Московская область","Moskva","75.86","Mosca|Moscou|Moscow|Moskau|Moskova|Moskovskaya","Oblast","Region"
"МУРМАНСКАЯ ОБЛ","Мурманская область","Murmansk","49.11","Murmanskaya Oblast","Oblast","Region"
"НЕНЕЦКИЙ АО","Ненецкий автономный округ","Nenets","37.19","Nenetskiy A.Okr.|Nenetskiy Aok","Avtonomnyy Okrug","Autonomous Province"
"НИЖЕГОРОДСКАЯ ОБЛ","Нижегородская область","Nizhegorod","59.92","Gor'kiy|Gor'kovskaya|Gorky|Nizhegorodskaya|Nizhniy-Novgorod|Nizhegorodskaya Oblast","Oblast","Region"
"НОВГОРОДСКАЯ ОБЛ","Новгородская область","Novgorod","45.51","Novgorodskaya Oblast","Oblast","Region"
"НОВОСИБИРСКАЯ ОБЛ","Новосибирская область","Novosibirsk","54.38","Novosibirskaya Oblast","Oblast","Region"
"ОМСКАЯ ОБЛ","Омская область","Omsk","41.18","Omskaya Oblast","Oblast","Region"
"ОРЕНБУРГСКАЯ ОБЛ","Оренбургская область","Orel","48.59","Orlovskaya|Or'ol|Oryol|Orlovskaya Oblast","Oblast","Region"
"ОРЛОВСКАЯ ОБЛ","Орловская область","Orenburg","50.54","Chkalov|Orenburgskaya|Orenburgskaya Oblast","Oblast","Region"
"ПЕНЗЕНСКАЯ ОБЛ","Пензенская область","Penza","48.95","Penzenskaya Oblast","Oblast","Region"
"ПЕРМСКИЙ КРАЙ","Пермский край","Perm'","47.07","Molotov|Permskaya Oblast","Kray","Territory"
"ПРИМОРСКИЙ КРАЙ","Приморский край","Primor'ye","48.08","Küsten-Gebiet|Maritime Territory|Primorsk|Primorskiy Kray","Kray","Territory"
"ПСКОВСКАЯ ОБЛ","Псковская область","Pskov","44.65","Pskovskaya Oblast","Oblast","Region"
"Республика Алтай","Республика Алтай","Altay","30.55","Altayskiy Kray","Kray","Territory"
"Республика Крым","Республика Крым","Crimea","47.15","Crimée|Criméia|Krim|Krymskaya Respublika|Respublika Krym","Autonomous Republic","Autonomous Republic"
"РОСТОВСКАЯ ОБЛ","Ростовская область","Rostov","58.86","Province of the Don Cossacks|Provinz des Donischen Heeres|Voyska Donskovo|Rostovskaya Oblast","Oblast","Region"
"РЯЗАНСКАЯ ОБЛ","Рязанская область","Ryazan'","54.69","Ryazanskaya Oblast|Ryazanskaya Oblast","Oblast","Region"
"САМАРСКАЯ ОБЛ","Самарская область","Samara","60.71","Kuybyshev|Kuybyshevskaya|Samarskaya Oblast","Oblast","Region"
"САНКТ-ПЕТЕРБУРГ Г","Санкт-Петербург","Saint Petersburg City","80.24","Sankt-Peterburg gorsovet","Gorsovet","City"
"САРАТОВСКАЯ ОБЛ","Саратовская область","Saratov","47.58","Saratovskaya Oblast","Oblast","Region"
"САХАЛИНСКАЯ ОБЛ","Сахалинская область","Sakhalin","52.64","Sakhalinskaya Oblast","Oblast","Region"
"СВЕРДЛОВСКАЯ ОБЛ","Свердловская область","Sverdlovsk","59.04","Yekaterinburg|Sverdlovskaya Oblast","Oblast","Region"
"Севастополь Г","Севастополь","Sevastopol'","54.37","Sebastopol","Autonomous Republic","Autonomous Republic"
"СЕВЕРНАЯ ОСЕТИЯ - АЛАНИЯ РЕСП","Северная Осетия","North Ossetia","33.93","Kuzey Osetya|Respublika Severnaya Osetiya|Severnaya Osetiya-Alaniya|North Ossetian A.S.S.R.|Republic of North Osetia-Alania","Respublika","Republic"
"СМОЛЕНСКАЯ ОБЛ","Смоленская область","Smolensk","47.43","Smolenskaya Oblast","Oblast","Region"
"СТАВРОПОЛЬСКИЙ КРАЙ","Ставропольский край","Stavropol'","53.46","Stavropol'skiy Kray|Stavropolskiy Kray","Kray","Territory"
"ТАМБОВСКАЯ ОБЛ","Тамбовская область","Tambov","49.15","Tambovskaya Oblast","Oblast","Region"
"ТАТАРСТАН РЕСП","Республика Татарстан","Tatarstan","69.36","Kazan|Kazanskaya G.|Tatar A.S.S.R.|Tatarskaya A.S.S.R.|Republic of Tatarstan|Respublika Tatars","Respublika","Republic"
"ТВЕРСКАЯ ОБЛ","Тверская область","Tver'","46.05","Kalinin|Kalininskaya|Tverskaya Oblast","Oblast","Region"
"ТОМСКАЯ ОБЛ","Томская область","Tomsk","46.32","Tomskaya Oblast","Oblast","Region"
"ТУЛЬСКАЯ ОБЛ","Тульская область","Tula","55.71","Tul'skaya|Tulskaya Oblast","Oblast","Region"
"ТЫВА РЕСП","Республика Тыва","Tuva","19.11","Respublika Tyva|Republic of Tuva|Tyva|Tuvinskaya A.S.S.R.|Republic of Tyva","Respublika","Republic"
"ТЮМЕНСКАЯ ОБЛ","Тюменская область","Tyumen'","57.74","Tobol'sk|Tobol'skaya G.|Tyumenskaya Oblast","Oblast","Region"
"УДМУРТСКАЯ РЕСП","Удмуртская республика","Udmurt","48.59","Udmurtiya|Udmurt Republic|Udmurtskaya A.S.S.R.|Udmurtskaya Respublika","Respublika","Republic"
"УЛЬЯНОВСКАЯ ОБЛ","Ульяновская область","Ul'yanovsk","49.79","Simbirsk|Simbirskaya G.|Ul'yanovskaya Oblast","Oblast","Region"
"ХАБАРОВСКИЙ КРАЙ","Хабаровский край","Khabarovsk","51.78","Khabarovskiy Kray","Kray","Territory"
"ХАКАСИЯ РЕСП","Республика Хакасия","Khakass","41.4","Khakassiya|Republic of Khakasia|Khakasskaya A.Obl.|Respublika Khakasiya|Republic of Khakasia","Respublika","Republic"
"ХАНТЫ-МАНСИЙСКИЙ - ЮГРА АО","Ханты-Мансийский автономный округ","Khanty-Mansiy","62.0","Khanty-Mansiysk|Khanty-Mansiyskiy A.Okr.|Khanty-Mansiyskiy A.Okr.-Yugra|Khanty-Mansiyskiy Aok","Avtonomnyy Okrug","Autonomous Province"
"ЧЕЛЯБИНСКАЯ ОБЛ","Челябинская область","Chelyabinsk","53.8","Chelyabinskaya Oblast","Oblast","Region"
"ЧЕЧЕНСКАЯ РЕСП","Чеченская республика","Chechnya","35.82","Cecenia|Chechenia|Chechênia|Tchetchnia|Chechen-Ingush A.S.S.R.|Checheno-Ingushetia|Checheno-Ingushetia","Respublika","Republic"
"ЧУВАШСКАЯ - ЧУВАШИЯ РЕСП","Чувашская Республика","Chuvash","49.88","Chuvashskaya A.S.S.R.|Chuvashskaya Respublika|Chuvashiya|Chuvash Republic","Respublika","Republic"
"ЧУКОТСКИЙ АО","Чукотский автономный округ-Югра","Chukot","42.93","Chukotka|Chukotskiy Aok","Avtonomnyy Okrug","Autonomous Province"
"Якутия","Республика Саха","Sakha","39.23","Republic of Sakha|Yakutia-Sakha|Yakutsk|Yakut A.S.S.R.|Yakutskaya A.S.S.R.|Respublika Sakha","Respublika","Republic"
"ЯМАЛО-НЕНЕЦКИЙ АО","Ямало-Ненецкий автономный округ","Yamal-Nenets","58.48","Yamalo-Nenetskiy A. Okrug","Avtonomnyy Okrug","Autonomous Province"
"ЯРОСЛАВСКАЯ ОБЛ","Ярославская область","Yaroslavl'","51.74","Yaroslavskaya","Oblast","Region"
